State,Analyte,value
WI,PFOS,1.1421973944377029
WV,PFBA,NA
WV,PFPeA,NA
WV,PFHpA,NA
WV,PFOA,NA
WV,PFNA,NA
WV,PFDA,0.40335987759299
WV,PFHxS,NA
WV,PFOS,3.3259308172702373
WY,PFBA,NA
WY,PFPeA,NA
WY,PFHpA,NA
WY,PFOA,54.162777282712305
WY,PFNA,1.9976619285284287
WY,PFDA,0.2236033980748852
WY,PFHxS,NA
WY,PFOS,0.7346911141844465
AL,PFUnA,0.0929107349334556
AL,PFDoA,0.007557184253454769
AL,PFTrDA,0.008308024766948424
AL,PFTeDA,0.022552633645745154
AL,PFHpS,0.37226483324331383
AL,PFOSA,0.3085550749330398
AR,PFUnA,0.08950963254798007
AR,PFDoA,0.003464417051021962
AR,PFTrDA,0.007875941846218388
AR,PFTeDA,0.0071284664573427374
AR,PFHpS,NA
AR,PFOSA,NA
AZ,PFUnA,0.1277390779661159
AZ,PFDoA,0.03725380492283583
AZ,PFTrDA,0.05009974118844474
AZ,PFTeDA,0.13464881086091837
AZ,PFHpS,NA
AZ,PFOSA,NA
CA,PFUnA,0.32739847714004494
CA,PFDoA,0.06413648732201666
CA,PFTrDA,0.04226390830533209
CA,PFTeDA,0.07393410109948328
CA,PFHpS,0.3848839801329177
CA,PFOSA,NA
CO,PFUnA,0.0433706466985058
CO,PFDoA,0.005120204612172163
CO,PFTrDA,0.009954315388970462
CO,PFTeDA,NA
CO,PFHpS,0.4164318473569274
CO,PFOSA,NA
CT,PFUnA,0.20472527149781006
CT,PFDoA,0.015793665967894235
CT,PFTrDA,0.03126748912948699
CT,PFTeDA,0.027985831276975195
CT,PFHpS,0.26500208468168107
CT,PFOSA,0.1884991003227298
DE,PFUnA,0.3091971180284053
DE,PFDoA,0.03190999822975621
DE,PFTrDA,0.033199282643434455
DE,PFTeDA,0.041520190593645416
DE,PFHpS,NA
DE,PFOSA,NA
FL,PFUnA,0.13667026736983554
FL,PFDoA,0.017523448431044558
FL,PFTrDA,0.016309762906543908
FL,PFTeDA,0.030285560709119877
FL,PFHpS,0.4069674871897244
FL,PFOSA,NA
GA,PFUnA,0.13220395622409606
GA,PFDoA,0.011900996169729748
GA,PFTrDA,0.011743418228111428
GA,PFTeDA,0.021243663781648298
GA,PFHpS,1.5837029346452842
GA,PFOSA,NA
IA,PFUnA,0.06493732694128863
IA,PFDoA,0.0025558566969549274
IA,PFTrDA,0.00566630260602934
IA,PFTeDA,0.009171126436347382
IA,PFHpS,NA
IA,PFOSA,NA
ID,PFUnA,0.04890732500044272
ID,PFDoA,0.002050629210347558
ID,PFTrDA,0.007197735742794026
ID,PFTeDA,NA
ID,PFHpS,NA
ID,PFOSA,NA
IL,PFUnA,0.23346326839833975
IL,PFDoA,0.01100674167251769
IL,PFTrDA,0.01387353406958866
IL,PFTeDA,0.018269300730587454
IL,PFHpS,NA
IL,PFOSA,NA
IN,PFUnA,0.16074619861227823
IN,PFDoA,0.010280905803749185
IN,PFTrDA,0.010875606117278105
IN,PFTeDA,0.015340793311708347
IN,PFHpS,NA
IN,PFOSA,NA
KS,PFUnA,0.04864367365273144
KS,PFDoA,0.005604204053123762
KS,PFTrDA,0.007744676148781414
KS,PFTeDA,0.006711597073872402
KS,PFHpS,NA
KS,PFOSA,NA
KY,PFUnA,0.4777801839441273
KY,PFDoA,0.01140087572019319
KY,PFTrDA,0.02191772520260126
KY,PFTeDA,0.01713333166063079
KY,PFHpS,NA
KY,PFOSA,NA
LA,PFUnA,0.08242400257823938
LA,PFDoA,0.004245609131154365
LA,PFTrDA,0.007941574694936874
LA,PFTeDA,0.01113041253865796
LA,PFHpS,NA
LA,PFOSA,NA
MA,PFUnA,0.1881679668615416
MA,PFDoA,0.02183601688335313
MA,PFTrDA,0.026668814195945037
MA,PFTeDA,0.034174952056898106
MA,PFHpS,NA
MA,PFOSA,NA
MD,PFUnA,0.13277481870740135
MD,PFDoA,0.016843180545115598
MD,PFTrDA,0.022451903665782275
MD,PFTeDA,0.03519419769948308
MD,PFHpS,0.3186334589624974
MD,PFOSA,NA
ME,PFUnA,0.08397295424604315
ME,PFDoA,0.006872225980295198
ME,PFTrDA,0.02127598179290939
ME,PFTeDA,0.013152229048489086
ME,PFHpS,NA
ME,PFOSA,NA
MI,PFUnA,0.11326151719620521
MI,PFDoA,0.01588784129771257
MI,PFTrDA,0.01454496852989127
MI,PFTeDA,0.03903981776199692
MI,PFHpS,0.6183381975905892
MI,PFOSA,NA
MN,PFUnA,0.049443416074122316
MN,PFDoA,0.0027723827626438004
MN,PFTrDA,0.009680845185976767
MN,PFTeDA,0.015640939267806988
MN,PFHpS,NA
MN,PFOSA,NA
MO,PFUnA,0.1450477889433615
MO,PFDoA,0.009749805502522045
MO,PFTrDA,0.011551381374453634
MO,PFTeDA,0.01741680284139062
MO,PFHpS,NA
MO,PFOSA,NA
MS,PFUnA,0.10743792419234721
MS,PFDoA,0.004283819613334754
MS,PFTrDA,0.006731013263018121
MS,PFTeDA,0.008670883176182979
MS,PFHpS,NA
MS,PFOSA,NA
MT,PFUnA,0.03499971640867262
MT,PFDoA,0.0019020328907571557
MT,PFTrDA,NA
MT,PFTeDA,NA
MT,PFHpS,NA
MT,PFOSA,NA
NC,PFUnA,0.17854845911790426
NC,PFDoA,0.01870251473832514
NC,PFTrDA,0.021695302770833057
NC,PFTeDA,0.029959013025401444
NC,PFHpS,NA
NC,PFOSA,NA
NE,PFUnA,0.061998628457952884
NE,PFDoA,0.004112175701318084
NE,PFTrDA,0.0055569145248318625
NE,PFTeDA,0.00937956112808255
NE,PFHpS,NA
NE,PFOSA,NA
NH,PFUnA,0.12474004388590004
NH,PFDoA,0.007990236384832514
NH,PFTrDA,0.016156619592867443
NH,PFTeDA,0.011693186206342911
NH,PFHpS,NA
NH,PFOSA,NA
NJ,PFUnA,1.3013391104116
NJ,PFDoA,0.1401334053889684
NJ,PFTrDA,0.08317140440381547
NJ,PFTeDA,0.11574378432053865
NJ,PFHpS,0.7760775337106374
NJ,PFOSA,0.47087374465539045
NM,PFUnA,0.10374680532438926
NM,PFDoA,0.006860904355945455
NM,PFTrDA,0.010435622946239363
NM,PFTeDA,0.012297646812374897
NM,PFHpS,NA
NM,PFOSA,NA
NV,PFUnA,0.06571509841703692
NV,PFDoA,0.011115004705362128
NV,PFTrDA,0.008619780798361235
NV,PFTeDA,0.021135277741946012
NV,PFHpS,NA
NV,PFOSA,NA
NY,PFUnA,0.154584434834861
NY,PFDoA,0.009146255099686832
NY,PFTrDA,0.02127850613324472
NY,PFTeDA,0.017053747505604636
NY,PFHpS,NA
NY,PFOSA,0.16605873123669052
OH,PFUnA,0.1213455327841173
OH,PFDoA,0.011219729730597268
OH,PFTrDA,0.011420115677016661
OH,PFTeDA,0.021718894878804483
OH,PFHpS,NA
OH,PFOSA,0.212061487863071
OK,PFUnA,0.11665796691083878
OK,PFDoA,0.006068036850702376
OK,PFTrDA,0.007222044205282355
OK,PFTeDA,0.025470719330037504
OK,PFHpS,NA
